32189,Satsuma,
32204,Jacksonville,-6,
32209,Jacksonville,-6,
32221,Jacksonville,-6,
32336,Lamont,
32440,Graceville,
32577,Molino,
32579,Shalimar,
32617,Anthony,
32668,Morriston,
32709,Christmas,
32724,Deland,
32829,Orlando,7,
32837,Orlando,7,
32926,Cocoa,
32948,Fellsmere,
33028,Pembroke Pines,
33040,Key West,
33071,Coral Springs,
33306,Fort Lauderdale,
33461,Lake Worth,
33527,Dover,
33544,Wesley Chapel,
33812,Lakeland,
33983,Punta Gorda,
34114,Naples,
34470,Ocala,
34488,Silver Springs,
34736,Groveland,
34746,Kissimmee,
34769,Saint Cloud,
34974,Okeechobee,
32063,Macclenny,
32095,Saint Augustine,
32218,Jacksonville,-6,
32258,Jacksonville,-6,
32304,Tallahassee,-8,
32427,Caryville,
32443,Greenwood,
32465,Wewahitchka,
32534,Pensacola,
32618,Archer,
32626,Chiefland,
32653,Gainesville,
32669,Newberry,
32759,Oak Hill,
32792,Winter Park,
32827,Orlando,7,
32952,Merritt Island,
32968,Vero Beach,
33125,Miami,11,
33142,Miami,11,
33150,Miami,11,
33155,Miami,11,
33437,Boynton Beach,
33510,Brandon,
33573,Sun City Center,
33767,Clearwater Beach,
33850,Lake Alfred,
33856,Nalcrest,
33868,Polk City,
33981,Port Charlotte,
34145,Marco Island,
34223,Englewood,
34285,Venice,
34293,Venice,
34445,Holder,
34475,Ocala,
32308,Tallahassee,-8,
32309,Tallahassee,-8,
32311,Tallahassee,-8,
32333,Havana,
32350,Pinetta,
32445,Malone,
32455,Ponce De Leon,
32603,Gainesville,
32707,Casselberry,
32796,Titusville,
32820,Orlando,7,
32832,Orlando,7,
32835,Orlando,7,
33024,Hollywood,
33334,Fort Lauderdale,
33407,West Palm Beach,
33471,Moore Haven,
33487,Boca Raton,
33540,Zephyrhills,
33578,Riverview,
33776,Seminole,
33931,Fort Myers Beach,
34141,Ochopee,
34465,Beverly Hills,
34479,Ocala,
34639,Land O'Lakes,
34739,Kenansville,
34772,Saint Cloud,
34786,Windermere,
34997,Stuart,
32033,Elkton,
32102,Astor,
32113,Citra,
32224,Jacksonville,-6,
32346,Panacea,
32348,Perry,
32413,Panama City Beach,
32641,Gainesville,
32683,Otter Creek,
32735,Grand Island,
32738,Deltona,
32962,Vero Beach,
32967,Vero Beach,
33001,Long Key,
33069,Pompano Beach,
33411,West Palm Beach,
33434,Boca Raton,
33476,Pahokee,
33538,Lake Panasoffkee,
33565,Plant City,
33634,Tampa,0,
33805,Lakeland,
33873,Wauchula,
33982,Punta Gorda,
34222,Ellenton,
34449,Inglis,
34698,Dunedin,
34762,Okahumpka,
34950,Fort Pierce,
34984,Port Saint Lucie,
32008,Branford,
32128,Port Orange,
32141,Edgewater,
32210,Jacksonville,-6,
32217,Jacksonville,-6,
32222,Jacksonville,-6,
32303,Tallahassee,-8,
32359,Steinhatchee,
32407,Panama City Beach,
32444,Lynn Haven,
32583,Milton,
32750,Longwood,
32909,Palm Bay,
33042,Summerland Key,
33172,Miami,11,
33186,Miami,11,
33309,Fort Lauderdale,
33324,Fort Lauderdale,
33409,West Palm Beach,
33467,Lake Worth,
33523,Dade City,
33569,Riverview,
33619,Tampa,0,
33712,Saint Petersburg,
33714,Saint Petersburg,
33870,Sebring,
33945,Pineland,
33953,Port Charlotte,
34103,Naples,
34116,Naples,
34211,Bradenton,
34234,Sarasota,3
34237,Sarasota,3
34481,Ocala,
34614,Brooksville,
34655,New Port Richey,
34771,Saint Cloud,
34972,Okeechobee,
34996,Stuart,
32061,Lulu,
32132,Edgewater,
32140,Florahome,
32159,Lady Lake,
32187,San Mateo,
32321,Bristol,
32322,Carrabelle,
32355,Saint Marks,
32426,Campbellton,
32459,Santa Rosa Beach,
32601,Gainesville,
32605,Gainesville,
32667,Micanopy,
32784,Umatilla,
32814,Orlando,7,
32828,Orlando,7,
32931,Cocoa Beach,
33012,Hialeah,
33013,Hialeah,
33021,Hollywood,
33128,Miami,11,
33143,Miami,11,
33145,Miami,11,
33317,Fort Lauderdale,
33406,West Palm Beach,
33417,West Palm Beach,
33426,Boynton Beach,
33428,Boca Raton,
33444,Delray Beach,
33525,Dade City,
33563,Plant City,
33813,Lakeland,
33837,Davenport,
33877,Waverly,
33913,Fort Myers,
33922,Bokeelia,
33957,Sanibel,
33967,Fort Myers,
34207,Bradenton,
34224,Englewood,
34286,North Port,
34442,Hernando,
34446,Homosassa,
34471,Ocala,
34747,Kissimmee,
32058,Lawtey,
32244,Jacksonville,-6,
32431,Cottondale,
32447,Marianna,
32463,Wausau,
32502,Pensacola,
32615,Alachua,
32619,Bell,
33020,Hollywood,
33033,Homestead,
33184,Miami,11,
33313,Fort Lauderdale,
33410,Palm Beach Gardens,
33431,Boca Raton,
33433,Boca Raton,
33445,Delray Beach,
33704,Saint Petersburg,
33771,Largo,
33811,Lakeland,
33854,Lakeshore,
33867,River Ranch,
33956,Saint James City,
33960,Venus,
34137,Copeland,
34228,Longboat Key,
34432,Dunnellon,
34448,Homosassa,
34450,Inverness,
34482,Ocala,
32066,Mayo,
32112,Crescent City,
32117,Daytona Beach,
